config_idx,learning_rate,depth,l2_leaf_reg,iterations,val_cost,threshold,test_cost,test_precision,test_recall,test_pr_auc,test_fp,test_fn,test_tp,test_tn
1,0.1,4,1.0,200,4400,0.6899999999999997,2420,1.0,0.7777777777777778,0.8700984916029518,0,22,77,56863
2,0.1,4,1.0,400,4620,0.5899999999999997,2200,1.0,0.797979797979798,0.8710290131757298,0,20,79,56863
3,0.1,4,3.0,200,4840,0.5099999999999998,4950,0.9404761904761905,0.797979797979798,0.8674091178905472,5,20,79,56858
4,0.1,4,3.0,400,4730,0.8399999999999996,3190,1.0,0.7070707070707071,0.8694723572779267,0,29,70,56863
5,0.1,4,5.0,200,4290,0.7999999999999996,3410,1.0,0.6868686868686869,0.8681124283988215,0,31,68,56863
6,0.1,4,5.0,400,4180,0.8699999999999997,3520,1.0,0.6767676767676768,0.8731482172192228,0,32,67,56863
7,0.1,6,1.0,200,4620,0.7099999999999997,2420,1.0,0.7777777777777778,0.8759170427884303,0,22,77,56863
8,0.1,6,1.0,400,4620,0.7099999999999997,2420,1.0,0.7777777777777778,0.8759170427884303,0,22,77,56863
9,0.1,6,3.0,200,3850,0.6999999999999997,2530,1.0,0.7676767676767676,0.8709350117079587,0,23,76,56863
10,0.1,6,3.0,400,3960,0.7399999999999997,2530,1.0,0.7676767676767676,0.8709896264009637,0,23,76,56863
11,0.1,6,5.0,200,3960,0.7499999999999997,2970,1.0,0.7272727272727273,0.8699077284001329,0,27,72,56863
12,0.1,6,5.0,400,3850,0.7199999999999998,2640,1.0,0.7575757575757576,0.8723237161477878,0,24,75,56863
13,0.1,8,1.0,200,4510,0.8499999999999996,3740,1.0,0.6565656565656566,0.8779159151289797,0,34,65,56863
14,0.1,8,1.0,400,4400,0.8599999999999997,3300,1.0,0.696969696969697,0.8788416103841042,0,30,69,56863
15,0.1,8,3.0,200,4400,0.5799999999999997,3410,0.975,0.7878787878787878,0.8793201266740194,2,21,78,56861
16,0.1,8,3.0,400,4400,0.5799999999999997,3410,0.975,0.7878787878787878,0.8793201266740194,2,21,78,56861
17,0.1,8,5.0,200,4510,0.8099999999999996,3300,1.0,0.696969696969697,0.8691872297197119,0,30,69,56863
18,0.1,8,5.0,400,4510,0.8099999999999996,3300,1.0,0.696969696969697,0.8691872297197119,0,30,69,56863
19,0.05,4,1.0,200,4950,0.6199999999999998,2970,0.9871794871794872,0.7777777777777778,0.8665643042439978,1,22,77,56862
20,0.05,4,1.0,400,4730,0.6099999999999998,2750,0.9875,0.797979797979798,0.8737631491630924,1,20,79,56862
21,0.05,4,3.0,200,4620,0.7899999999999997,3960,0.9855072463768116,0.6868686868686869,0.8641701515156588,1,31,68,56862
22,0.05,4,3.0,400,4840,0.6999999999999997,3080,0.987012987012987,0.7676767676767676,0.8690814274148517,1,23,76,56862
23,0.05,4,5.0,200,4730,0.8499999999999996,4400,1.0,0.5959595959595959,0.8626937625113542,0,40,59,56863
24,0.05,4,5.0,400,4950,0.6399999999999997,2860,0.9873417721518988,0.7878787878787878,0.8666740075404736,1,21,78,56862
25,0.05,6,1.0,200,3740,0.6699999999999997,2310,1.0,0.7878787878787878,0.8781447925776451,0,21,78,56863
26,0.05,6,1.0,400,4180,0.7499999999999997,2420,1.0,0.7777777777777778,0.8783464448209729,0,22,77,56863
27,0.05,6,3.0,200,4290,0.7399999999999997,2750,1.0,0.7474747474747475,0.8743991733925761,0,25,74,56863
28,0.05,6,3.0,400,3960,0.7199999999999998,2750,1.0,0.7474747474747475,0.8758140420306351,0,25,74,56863
29,0.05,6,5.0,200,4290,0.7799999999999997,3520,1.0,0.6767676767676768,0.8730982043095629,0,32,67,56863
30,0.05,6,5.0,400,4180,0.8099999999999996,2970,1.0,0.7272727272727273,0.8770819156675691,0,27,72,56863
31,0.05,8,1.0,200,4290,0.6999999999999997,2750,1.0,0.7474747474747475,0.8793574745983044,0,25,74,56863
32,0.05,8,1.0,400,4290,0.7099999999999997,2530,1.0,0.7676767676767676,0.8784806412492728,0,23,76,56863
33,0.05,8,3.0,200,4180,0.6699999999999997,2640,1.0,0.7575757575757576,0.8784058770170381,0,24,75,56863
34,0.05,8,3.0,400,3960,0.6499999999999997,2420,1.0,0.7777777777777778,0.8784758714677215,0,22,77,56863
35,0.05,8,5.0,200,4180,0.6899999999999997,2640,1.0,0.7575757575757576,0.8763143633228186,0,24,75,56863
36,0.05,8,5.0,400,4180,0.7099999999999997,2750,1.0,0.7474747474747475,0.8782884453906725,0,25,74,56863
37,0.02,4,1.0,200,4400,0.7099999999999997,3300,0.9866666666666667,0.7474747474747475,0.8599740324770546,1,25,74,56862
38,0.02,4,1.0,400,4510,0.8299999999999996,3630,1.0,0.6666666666666666,0.8672472349884034,0,33,66,56863
39,0.02,4,3.0,200,4400,0.7399999999999997,3630,0.9861111111111112,0.7171717171717171,0.8572352040714447,1,28,71,56862
40,0.02,4,3.0,400,4290,0.8099999999999996,4290,0.9848484848484849,0.6565656565656566,0.864600806925253,1,34,65,56862
41,0.02,4,5.0,200,4400,0.7599999999999997,3630,0.9861111111111112,0.7171717171717171,0.8569223363565605,1,28,71,56862
42,0.02,4,5.0,400,4290,0.7799999999999997,3630,0.9861111111111112,0.7171717171717171,0.8629652713551048,1,28,71,56862
43,0.02,6,1.0,200,4180,0.7099999999999997,2750,1.0,0.7474747474747475,0.869886094206806,0,25,74,56863
44,0.02,6,1.0,400,4070,0.6999999999999997,2310,1.0,0.7878787878787878,0.8754683931009337,0,21,78,56863
45,0.02,6,3.0,200,4290,0.7199999999999998,2860,1.0,0.7373737373737373,0.8680249549972385,0,26,73,56863
46,0.02,6,3.0,400,4290,0.7499999999999997,3080,1.0,0.7171717171717171,0.8740624702331782,0,28,71,56863
47,0.02,6,5.0,200,4290,0.6999999999999997,2860,1.0,0.7373737373737373,0.8676183209818805,0,26,73,56863
48,0.02,6,5.0,400,4180,0.7499999999999997,3080,1.0,0.7171717171717171,0.8733107356136275,0,28,71,56863
49,0.02,8,1.0,200,4180,0.7099999999999997,2860,1.0,0.7373737373737373,0.8717722746627214,0,26,73,56863
