config_idx,hidden_dim,dropout_rate,learning_rate,batch_size,epochs,use_class_weights,train_loss,val_loss,val_cost,threshold,test_cost,test_precision,test_recall,test_pr_auc,test_fp,test_fn,test_tp,test_tn,savings
1,64,0.1,0.0001,32,50,True,0.0017176439858263204,0.003886100681472831,6820,0.7799999999999997,7370,0.9041095890410958,0.673469387755102,0.8416176337787159,7,32,66,56857,3410
2,64,0.1,0.0001,64,50,True,0.001807955399170401,0.003946319462430758,10560,0.7599999999999997,10010,0.8481012658227848,0.6836734693877551,0.8096500309016726,12,31,67,56852,770
3,64,0.1,0.0001,128,50,True,0.001778675656069565,0.004027891128504032,9350,0.8799999999999997,8140,0.9074074074074074,0.5,0.8210058802622926,5,49,49,56859,2640
4,64,0.1,0.001,32,50,True,0.0016893817369613231,0.005165340074230047,5500,0.8499999999999996,4730,0.9836065573770492,0.6122448979591837,0.8469060106705091,1,38,60,56863,6050
5,64,0.1,0.001,64,50,True,0.0015014688438498786,0.0054882243446581465,5830,0.7799999999999997,5390,0.9672131147540983,0.6020408163265306,0.8461285404476362,2,39,59,56862,5390
6,64,0.1,0.001,128,50,True,0.0012866111010714136,0.005878012406415236,5720,0.7799999999999997,7370,0.9041095890410958,0.673469387755102,0.8564339880577742,7,32,66,56857,3410
7,64,0.1,0.01,32,50,True,0.029032975609942568,0.043834777889783474,10010,0.1,10780,0.8333333333333334,0.25510204081632654,0.6484437068779894,5,73,25,56859,0
8,64,0.1,0.01,64,50,True,0.004567121204828085,0.009572331228354455,13970,0.8699999999999997,10670,1.0,0.01020408163265306,0.5947974000644467,0,97,1,56864,110
9,64,0.1,0.01,128,50,True,0.002575585259144649,0.007065360934670523,10450,0.7999999999999996,11440,0.8214285714285714,0.7040816326530612,0.7704465954788527,15,29,69,56849,-660
10,64,0.2,0.0001,32,50,True,0.0020047722172784363,0.00418209254391248,7700,0.8599999999999997,6270,0.9491525423728814,0.5714285714285714,0.8411073210978383,3,42,56,56861,4510
11,64,0.2,0.0001,64,50,True,0.0021028356267501777,0.004029404710713033,10450,0.6999999999999997,11550,0.8202247191011236,0.7448979591836735,0.7773519395780032,16,25,73,56848,-770
12,64,0.2,0.0001,128,50,True,0.0022716567542989427,0.004040702616771098,9790,0.6899999999999997,11110,0.8279569892473119,0.7857142857142857,0.7530868272105157,16,21,77,56848,-330
13,64,0.2,0.001,32,50,True,0.0016843166620185645,0.004518303393996204,5390,0.6799999999999997,5390,0.9552238805970149,0.6530612244897959,0.8415823025869988,3,34,64,56861,5390
14,64,0.2,0.001,64,50,True,0.0017086263402465974,0.005048375406384583,5170,0.7799999999999997,5720,0.9428571428571428,0.673469387755102,0.8437578780144331,4,32,66,56860,5060
15,64,0.2,0.001,128,50,True,0.0016754355771554975,0.0049882258671181895,5940,0.7999999999999996,5390,0.9672131147540983,0.6020408163265306,0.8517302960124408,2,39,59,56862,5390
16,64,0.2,0.01,32,50,True,0.036322012609441165,0.04660577909774363,12760,0.5099999999999998,12980,0.7978723404255319,0.7653061224489796,0.7431581601827143,19,23,75,56845,-2200
17,64,0.2,0.01,64,50,True,0.0038260441682734262,0.02926567337243121,12980,0.29999999999999993,14630,0.7731958762886598,0.7653061224489796,0.7305921763804344,22,23,75,56842,-3850
18,64,0.2,0.01,128,50,True,0.002650097484628391,0.006083750544461853,13200,0.8599999999999997,13090,0.7901234567901234,0.6530612244897959,0.762218659222408,17,34,64,56847,-2310
19,64,0.3,0.0001,32,50,True,0.0021842831283655066,0.004133347494943221,8910,0.8399999999999996,7370,0.9272727272727272,0.5204081632653061,0.8276742545775387,4,47,51,56860,3410
20,64,0.3,0.0001,64,50,True,0.002329953165544987,0.004285635109703794,10010,0.6699999999999997,10340,0.8409090909090909,0.7551020408163265,0.7777904740127626,14,24,74,56850,440
21,64,0.3,0.0001,128,50,True,0.002434546204903796,0.004189023221435895,9790,0.6799999999999997,11660,0.8191489361702128,0.7857142857142857,0.7456932211188761,17,21,77,56847,-880
22,64,0.3,0.001,32,50,True,0.0019563577479471666,0.004432840171037817,5720,0.8599999999999997,4620,0.9838709677419355,0.6224489795918368,0.8523126296835426,1,37,61,56863,6160
23,64,0.3,0.001,64,50,True,0.0020660958390319004,0.003946901209399221,5830,0.8399999999999996,5170,0.9682539682539683,0.6224489795918368,0.846375816327171,2,37,61,56862,5610
24,64,0.3,0.001,128,50,True,0.002070274640619452,0.004536707939953308,9790,0.6599999999999997,11880,0.8163265306122449,0.8163265306122449,0.7683271411173929,18,18,80,56846,-1100
25,64,0.3,0.01,32,50,True,0.034307282249010175,0.045616736386365486,13310,0.8799999999999997,13200,0.7934782608695652,0.7448979591836735,0.6429772947354488,19,25,73,56845,-2420
26,64,0.3,0.01,64,50,True,0.004985510842014488,0.007325256163861233,13200,0.7699999999999997,13750,0.7849462365591398,0.7448979591836735,0.7224993358854269,20,25,73,56844,-2970
27,64,0.3,0.01,128,50,True,0.002962409842005967,0.008778596416166044,12870,0.12,14410,0.7777777777777778,0.7857142857142857,0.7681690878372385,22,21,77,56842,-3630
28,128,0.1,0.0001,32,50,True,0.0014992705955980707,0.0038812365041200085,6930,0.8899999999999996,4620,0.9838709677419355,0.6224489795918368,0.870412806859695,1,37,61,56863,6160
29,128,0.1,0.0001,64,50,True,0.001639603373896504,0.0041047498898979275,6930,0.8899999999999996,4620,1.0,0.5714285714285714,0.8616366560127833,0,42,56,56864,6160
30,128,0.1,0.0001,128,50,True,0.0015155767685177586,0.003919093310972933,5940,0.8299999999999996,5060,0.96875,0.6326530612244898,0.8594908652515926,2,36,62,56862,5720
31,128,0.1,0.001,32,50,True,0.0019205170418063815,0.005326246314510454,5830,0.8899999999999996,5170,0.9682539682539683,0.6224489795918368,0.8527340692114116,2,37,61,56862,5610
32,128,0.1,0.001,64,50,True,0.001583668941121832,0.005507343247225607,10010,0.7199999999999998,10230,0.8433734939759037,0.7142857142857143,0.7738617216358314,13,28,70,56851,550
33,128,0.1,0.001,128,50,True,0.0014082438963158386,0.004872871198984675,9460,0.8899999999999996,9130,0.8695652173913043,0.6122448979591837,0.8288206156589387,9,38,60,56855,1650
34,128,0.1,0.01,32,50,True,0.17253474227638269,0.1710313512135053,13530,0.1,10780,0.0,0.0,0.0008739552742885413,0,98,0,56864,0
35,128,0.1,0.01,64,50,True,0.1723938448549365,0.17077688805049285,13530,0.1,10780,0.0,0.0,0.0009146994732376463,0,98,0,56864,0
36,128,0.1,0.01,128,50,True,99.82641658450665,99.8248135586079,13530,0.1,10780,0.0,0.0,0.006020753116639982,0,98,0,56864,0
